Datetime,PJME_MW
2002-01-01,31563.698538645964
2003-01-01,31696.652226027396
2004-01-01,32268.228540528235
2005-01-01,33308.35747716895
2006-01-01,32407.062842465755
2007-01-01,33611.3551369863
2008-01-01,32927.88313979963
2009-01-01,31849.27562785388
2010-01-01,33099.38801369863
2011-01-01,32366.49828767123
2012-01-01,31438.51508424408
2013-01-01,31704.59743150685
2014-01-01,31496.549942922375
2015-01-01,31710.20941780822
2016-01-01,31337.81153233151
2017-01-01,30651.965696347033
2018-01-01,31781.65583025112
