Datetime,PJME_MW
2002-01-06,32392.16083916084
2002-01-13,31487.386904761905
2002-01-20,31452.880952380954
2002-01-27,30141.529761904763
2002-02-03,29196.488095238095
2002-02-10,31150.51785714286
2002-02-17,30616.565476190477
2002-02-24,29144.130952380954
2002-03-03,29869.011904761905
2002-03-10,29440.910714285714
2002-03-17,28672.779761904763
2002-03-24,29927.488095238095
2002-03-31,27595.869047619046
2002-04-07,28286.776785714286
2002-04-14,27182.48214285714
2002-04-21,31484.488095238095
2002-04-28,27316.886904761905
2002-05-05,26929.48214285714
2002-05-12,27587.095238095237
2002-05-19,27606.833333333332
2002-05-26,27480.416666666668
2002-06-02,31448.660714285714
2002-06-09,30961.79761904762
2002-06-16,32444.291666666668
2002-06-23,32547.464285714286
2002-06-30,39257.517857142855
2002-07-07,38626.65476190476
2002-07-14,34359.119047619046
2002-07-21,39671.77976190476
2002-07-28,36481.57738095238
2002-08-04,43367.93452380953
2002-08-11,34962.30952380953
2002-08-18,43559.52380952381
2002-08-25,38535.255952380954
2002-09-01,30796.785714285714
2002-09-08,31535.17261904762
2002-09-15,32530.863095238095
2002-09-22,33065.07142857143
2002-09-29,29233.779761904763
2002-10-06,31042.369047619046
2002-10-13,27714.60119047619
2002-10-20,27504.82738095238
2002-10-27,28099.10119047619
2002-11-03,29799.845238095237
2002-11-10,29018.07738095238
2002-11-17,28881.886904761905
2002-11-24,30137.25
2002-12-01,29946.190476190477
2002-12-08,34193.69642857143
2002-12-15,33603.42261904762
2002-12-22,32473.744047619046
2002-12-29,30883.190476190477
2003-01-05,31034.410714285714
2003-01-12,33025.833333333336
2003-01-19,35999.54761904762
2003-01-26,37169.54761904762
2003-02-02,35288.41071428572
2003-02-09,33546.67261904762
2003-02-16,35533.58928571428
2003-02-23,33023.458333333336
2003-03-02,33915.142857142855
2003-03-09,32673.440476190477
2003-03-16,31469.940476190477
2003-03-23,28498.291666666668
2003-03-30,27901.82738095238
2003-04-06,29246.08035714286
2003-04-13,30065.660714285714
2003-04-20,27350.916666666668
2003-04-27,27219.529761904763
2003-05-04,27207.125
2003-05-11,27547.22619047619
2003-05-18,27214.803571428572
2003-05-25,27125.708333333332
2003-06-01,26793.761904761905
2003-06-08,27619.208333333332
2003-06-15,32305.803571428572
2003-06-22,29259.29761904762
2003-06-29,37264.17857142857
2003-07-06,36593.34523809524
2003-07-13,36765.52976190476
2003-07-20,35232.32738095238
2003-07-27,37563.880952380954
2003-08-03,36209.84523809524
2003-08-10,37035.732142857145
2003-08-17,38948.732142857145
2003-08-24,37205.17261904762
2003-08-31,35989.5
2003-09-07,31189.958333333332
2003-09-14,30903.505952380954
2003-09-21,30389.363095238095
2003-09-28,30416.214285714286
2003-10-05,27654.761904761905
2003-10-12,27895.035714285714
2003-10-19,27583.863095238095
2003-10-26,28414.660714285714
2003-11-02,28235.880952380954
2003-11-09,28790.541666666668
2003-11-16,30017.428571428572
2003-11-23,28932.60714285714
2003-11-30,28866.136904761905
2003-12-07,33776.82142857143
2003-12-14,33725.017857142855
2003-12-21,34298.01190476191
2003-12-28,30268.386904761905
2004-01-04,29353.73214285714
2004-01-11,36090.55952380953
2004-01-18,36814.47023809524
2004-01-25,37925.61309523809
2004-02-01,37941.05952380953
2004-02-08,34751.22023809524
2004-02-15,33151.982142857145
2004-02-22,33083.369047619046
2004-02-29,32057.285714285714
2004-03-07,28904.369047619046
2004-03-14,31175.654761904763
2004-03-21,31363.529761904763
2004-03-28,29653.833333333332
2004-04-04,29680.502976190477
2004-04-11,28679.678571428572
2004-04-18,28625.64880952381
2004-04-25,28265.541666666668
2004-05-02,28090.011904761905
2004-05-09,27803.416666666668
2004-05-16,34059.517857142855
2004-05-23,33437.10119047619
2004-05-30,32726.630952380954
2004-06-06,28598.60119047619
2004-06-13,33086.333333333336
2004-06-20,36690.392857142855
2004-06-27,33641.83928571428
2004-07-04,34584.16071428572
2004-07-11,36822.78571428572
2004-07-18,34360.13690476191
2004-07-25,36183.97023809524
2004-08-01,36914.80357142857
2004-08-08,34744.30952380953
2004-08-15,34875.27380952381
2004-08-22,35650.92261904762
2004-08-29,36206.13690476191
2004-09-05,35017.57738095238
2004-09-12,32740.291666666668
2004-09-19,31628.041666666668
2004-09-26,30272.934523809523
2004-10-03,29580.95238095238
2004-10-10,28073.339285714286
2004-10-17,27959.625
2004-10-24,28678.589285714286
2004-10-31,28327.553571428572
2004-11-07,28465.160714285714
2004-11-14,30485.89880952381
2004-11-21,29449.744047619046
2004-11-28,28468.880952380954
2004-12-05,31088.535714285714
2004-12-12,31216.029761904763
2004-12-19,34010.48809523809
2004-12-26,34766.61309523809
2005-01-02,32178.14285714286
2005-01-09,31623.321428571428
2005-01-16,32488.14880952381
2005-01-23,38833.892857142855
2005-01-30,37788.857142857145
2005-02-06,34185.89880952381
2005-02-13,32270.541666666668
2005-02-20,33284.93452380953
2005-02-27,33497.92857142857
2005-03-06,34120.17261904762
2005-03-13,33096.94047619047
2005-03-20,31558.119047619046
2005-03-27,30569.333333333332
2005-04-03,29661.02380952381
2005-04-10,28108.529761904763
2005-04-17,27912.464285714286
2005-04-24,28117.10714285714
2005-05-01,27785.125
2005-05-08,27750.041666666668
2005-05-15,28094.553571428572
2005-05-22,27636.315476190477
2005-05-29,27803.04761904762
2005-06-05,28635.45238095238
2005-06-12,39343.642857142855
2005-06-19,36635.38690476191
2005-06-26,34874.34523809524
2005-07-03,38519.78571428572
2005-07-10,35085.38690476191
2005-07-17,40442.94642857143
2005-07-24,42698.833333333336
2005-07-31,40898.630952380954
2005-08-07,42770.57738095238
2005-08-14,42869.98809523809
2005-08-21,38635.09523809524
2005-08-28,35262.92857142857
2005-09-04,37673.083333333336
2005-09-11,32608.690476190477
2005-09-18,37769.67857142857
2005-09-25,34281.005952380954
2005-10-02,29985.23214285714
2005-10-09,31261.595238095237
2005-10-16,28632.386904761905
2005-10-23,28361.70238095238
2005-10-30,29842.282738095237
2005-11-06,28630.47619047619
2005-11-13,28988.053571428572
2005-11-20,30394.404761904763
2005-11-27,31612.416666666668
2005-12-04,31762.279761904763
2005-12-11,35636.958333333336
2005-12-18,36557.17857142857
2005-12-25,34650.708333333336
2006-01-01,31636.369047619046
2006-01-08,33123.166666666664
2006-01-15,31858.67261904762
2006-01-22,32875.97619047619
2006-01-29,33312.10119047619
2006-02-05,31231.42261904762
2006-02-12,34235.119047619046
2006-02-19,33435.13690476191
2006-02-26,33850.59523809524
2006-03-05,34290.03571428572
2006-03-12,30292.386904761905
2006-03-19,30481.27380952381
2006-03-26,31625.434523809523
2006-04-02,28641.133928571428
2006-04-09,29033.404761904763
2006-04-16,27306.755952380954
2006-04-23,27679.72619047619
2006-04-30,27489.505952380954
2006-05-07,28052.654761904763
2006-05-14,27759.369047619046
2006-05-21,27792.940476190477
2006-05-28,29033.470238095237
2006-06-04,35125.38690476191
2006-06-11,29861.535714285714
2006-06-18,32856.505952380954
2006-06-25,38172.11309523809
2006-07-02,37293.40476190476
2006-07-09,35657.27380952381
2006-07-16,41009.08928571428
2006-07-23,42548.458333333336
2006-07-30,41771.744047619046
2006-08-06,46176.09523809524
2006-08-13,36668.57738095238
